source,job_id,title,company,location,role,posted,url,found_at
lever,8778f2b6-fd12-4f61-8c0f-0102fd8a7f60,Data Engineer,Daniels Sharpsmart,"Chicago, IL",Data Engineer,2026-05-14T21:28:47.926000+00:00,https://jobs.lever.co/daniels-sharpsmart/8778f2b6-fd12-4f61-8c0f-0102fd8a7f60/apply,2026-05-14 21:33 UTC
greenhouse,8550730002,"Data Analyst, Project Controls",Ventureglobal,"Point Celeste, LA",Data Analyst,2026-05-14T16:37:24-04:00,https://job-boards.greenhouse.io/ventureglobal/jobs/8550730002,2026-05-14 21:36 UTC
greenhouse,4249458009,Data Engineer III,Itd,San Jose,Data Engineer,2026-05-15T06:40:30-04:00,https://job-boards.greenhouse.io/itd/jobs/4249458009,2026-05-15 11:06 UTC
greenhouse,4867975101,Working Student - Data Engineering (f/m/x),Marvelfusion,Munich,Data Engineer,2026-05-15T08:55:28-04:00,https://job-boards.eu.greenhouse.io/marvelfusion/jobs/4867975101,2026-05-15 12:56 UTC
greenhouse,8550374002,Financial Data Application Specialist,AlphaSense,"New York, New York, United States",Data,2026-05-14T15:16:15-04:00,https://job-boards.greenhouse.io/alphasense/jobs/8550374002,2026-05-15 14:26 UTC
greenhouse,8548752002,Data Analytics - Associate,iCapital Network,"New York, New York, United States",Data,2026-05-14T16:47:01-04:00,https://job-boards.greenhouse.io/icapitalnetwork/jobs/8548752002,2026-05-15 14:26 UTC
greenhouse,4681840006,Helix Data Creator (LA- Irvine/Santa Ana),Figure AI,"Irvine, CA",Data,2026-05-14T18:32:05-04:00,https://job-boards.greenhouse.io/figureai/jobs/4681840006,2026-05-15 14:26 UTC
greenhouse,4681841006,Helix Data Creator (LA- Pasadena),Figure AI,"Pasadena, CA",Data,2026-05-14T18:33:22-04:00,https://job-boards.greenhouse.io/figureai/jobs/4681841006,2026-05-15 14:26 UTC
greenhouse,4681839006,Helix Data Creator (LA- Santa Monica),Figure AI,"Santa Monica, CA",Data,2026-05-14T18:33:40-04:00,https://job-boards.greenhouse.io/figureai/jobs/4681839006,2026-05-15 14:26 UTC
greenhouse,5746782004,Data Architect,66Degrees,"Remote, United States",Data,2026-05-14T12:45:30-04:00,https://job-boards.greenhouse.io/66degrees/jobs/5746782004,2026-05-15 14:26 UTC
greenhouse,7734736003,Verification Operations Specialist (Data Entry),Abclegalservices,"Longmont, CO",Data,2026-05-14T13:38:52-04:00,https://www.abclegal.com/job-openings/job?id=7734736003&gh_jid=7734736003,2026-05-15 14:26 UTC
greenhouse,5217096008,Joint Data Network Technician,Analyticservicesinc,"Honolulu, HI",Data,2026-05-14T14:04:38-04:00,https://job-boards.greenhouse.io/analyticservicesinc/jobs/5217096008?gh_jid=5217096008,2026-05-15 14:26 UTC
greenhouse,4248510009,OFSAA Data Modeling Consultant,Formativgroup,"Remote/Charlotte, NC, Hoboken, NJ, or Tampa, FL - Full-Time",Data,2026-05-14T13:40:09-04:00,https://job-boards.greenhouse.io/formativgroup/jobs/4248510009,2026-05-15 14:26 UTC
greenhouse,4249622009,Un-Armed Licensed Security Officers – Ankeny - Data Center - 2-3 Shifts,Marksman,"Ankeny,Iowa",Data,2026-05-15T10:32:37-04:00,https://job-boards.greenhouse.io/marksman/jobs/4249622009,2026-05-15 14:36 UTC
